,rating,text
0,4.0,"Пользуюсь телефоном довольно долго.Нареканий нет.Было одно время,батарея быстро разряжалась,приобрёл другую,не совсем ту,что надо,но через некоторое время старая батарея стала работать без нареканий.Хватало зарядки на 1,5 недели.. Фиксация ищущего контакта не совсем чёткая,проскакивает."
1,5.0,"Я раньше ему ставил 4,а сейчас после того как в нём разобрался и привык к нему это 5.Да как же я нуждался в таком вот аппарате.А то покупал дорогие Сониерикссоны хотел чтобы у меня телефоны были самые самые,очень насыщенные по функционалу.Я вообще люблю умные вещи.Этот мой идеализм.А можно ведь так... Читать полностью. Ровно неделю назад я стал счастливым обладателем этого телефона.Сразу говорю-всем советую берите не пожалеете.Пусть будет жизнь она длинная и чего только в ней не бывает.Пригодится обязательно.Вообще то я выбираю что либо очень долго всё кропотливо взвешиваю и этот телефон купил читая вот такие вот... Читать полностью. Реально в нём только 2 минуса -это звук из него очень громкий.Ну что бы ты не делал он будет всегда громким.Там в профиле в настройках режима ставишь 1(градация от 1 до 7)но всё равно очень громко.Т е звонок будет звенеть очень громко,смски громко будут приходить,будильник громко будет вас будить.От... Читать полностью"
2,3.0,"Не долгожитель!!!!! умер через 1 год использования, хотя в течении года служил верой и правдой(стал отключаться при передаче файла, потом во время разговора и чем дальше, тем больше и это призаряде от 100 до 60%, замена аккумулятора и перепрошивка не помогли-выброшенные деньги).  Т.К. смена... Читать полностью. Большой экран, удобный, средняя стоимость, относительно продолжительная работа от аккумулятора до поры до времени. хорошее стекло.. тяжелый, не долговечный, не стоит свох денег(покупала за 6900 на Али)"
3,5.0,"Пользуюсь 2 дня. Эйфория прошла на 12 минуте. Тяжелый - чувствуется флагман напичкан... - для моей руки широковат, хотя S8 простой не +. Про пользование одной рукой практически можно забыть. При сдвиге верхней панели (настройки или информировании) постоянно ляпается камера и датчики - причем... Читать полностью. красивый, быстрый, камера на высоте, GPS -супер. тяжелый, скользкий, сканер отпечатков пальца не на своем месте, сканер радужки глаз - бесполезен при ходьбе, цена."
4,5.0,"Все радует, особенно батарея, которая при своей емкости держит очень долго и заряжается быстро. Также радует громкий динамик, неиспорченный ""улучшениями"" андроид с оперативными обновлениями, ну и легендарный sony style.. Превосходный дизайн, высокое качество сборки, хорошая производительность, высокая автономность, серьезная камера, яркий экран, громкий звук, прекрасная прошивка. Существенных недостатков не выявлено"
5,5.0,"Рекомендую!!! Отличный аппарат без излишеств, передвигаюсь на общественном транспорте всегда с музыкой, в пути книжки читаю, игры из разряда убивалок времени идут (на большее рассчитывать за такую цену глупо) так же как и на большое кол-во озу и памяти (не считаю недостатком т.к. как выше писал А ЧЁ... Читать полностью. Яркий дисплей, 
без повреждений переносит падения с высоты примерно 1-1,2 м  (в силиконом чехле), батареи хватает на день вполне хватает (в поездки беру power bankyf 2500 Ah тонкий, удобный не дорогой прим 300 руб),. После перезагрузки пропадали иконки со стола после сброса озу в Smart Mahagere  появлялись (исправили в недавнем обнове ос), 
Ну уж очень долго заряжается, до этого был А5 2015, аж бесит порой
Без чехла выскальзывает (чехол берите сразу)"
6,5.0,"Кто там что ожидал не совсем понятно, это достойный флагман.  Классический дизайн и топовое железо,  что ещё нужно. Никаких понтов,  только классика и практичность.. Топовая модель,  по современным меркам всё как положено). Кроме первоначальной прошивки и биксби больше просто нет"
7,1.0,"Впечатление от модели просто ужасное, намучилась с ним. Не советую. Красивый внешний вид,. Со времени покупки прошло 2 года в течении этого времени он ломался 4 раза, сейчас сломался 5 и больше ремонт осуществлять не буду слишком уж это накладно, система летит постоянно, с момента покупки до первой поломки прошло 9 месяцев мне его починили по гарантии, вернули его, через 4 месяца снова... Читать полностью"
8,5.0,"Самые положительные. У меня леэго 829. Оперативная 6 гиков, память 128 гиков.  Телефон лучший из тех, которые у меня были. Фронт камера 8, прямая камера 21 мегапикселей. Вот и судите сами, есть лучше или нет. Процессор не мтк, а снапдракон 820. Производительность на высоте. Разрешение экрана самое высокое.... Читать полностью. Пока не увидел. Если только нет фм радио, а так все устраивает"
9,1.0,"Не стоит своих денег. Телефон прожил с трудом 0.5 года. С момента покупки не было проблем пока он не начал качать обновления. На загрузке обновлений завис, погас экран и устройство стало жутко нагреваться. Прошли сутки..так он и не закончил загружать обновления. В сервисном центре его откатили... Читать полностью. Дизайн, качественные сочные снимки. Слабая фронтальная камера, некачественные видосы, быстро садится батарея, обновления-главная болезнь телефона!"
10,5.0,"за такие деньги стильный металл плюс стекло,  со стеклом решить и конкурентов не будет. батарея 4150 мАн, инфракрасный порт, можно любой техникой управлять с таким портом, 3 гига памяти для Про, корпус металл и стекло. стекло царапается даже от кожи пальцев, а при наклеивании плёнки она отлипает так как края 2,5д закруглены и в местах закругления плёнка отклеивается, можно конечно мощный чехол и стекло, но вся красота телефона пропадает, он со стороны становиться похож самую дешёвую пластмассу"
11,4.0,"Ну теперь чуть подробнее о моём новом черном друге. Тяжеленький, сбитый такой, удобно в руке лежит, скользкий правда. Отпечатки на корпусе, спереди и сзади. Всегда. Расстался с Самсунгом Ноут-3, естественно теперь меня многое радует: компактность, тот же ""олвейз-он""(аж с двумя настройками...печаль),... Читать полностью. * Внешний вид * Софт, не перегружен, пакет для жизни. * Эргономика, удобно, и всё на местах * Батарея,  * Type C  * Звук впечатлил, и мощность и детальность. * Обещанная защищенность, (правда уже сзади разбит)  * Широкоугольная камера.  * Радио есть! ... Читать полностью. Неадекватность цены. Основная камера и не пытается ""догнать"" S7, селфи-камера вообще грусть. Это конечно не совсем в кассу, но ожидал в комплекте найти переходник USB с микро на тайп-си, зря ожидал. Наушники качеством звука не блещут, нет регулировки громкости и перключателя трека. Противоударность... Читать полностью"
12,5.0,"Самые положительные. У меня леэго 829. Оперативная 6 гиков, память 128 гиков.  Телефон лучший из тех, которые у меня были. Фронт камера 8, прямая камера 21 мегапикселей. Вот и судите сами, есть лучше или нет. Процессор не мтк, а снапдракон 820. Производительность на высоте. Разрешение экрана самое высокое.... Читать полностью. Пока не увидел. Если только нет фм радио, а так все устраивает"
13,1.0,"Разочарован.. Телефоном пользовался 8 месяцев. Проблем не было. Камера супер! Фото получались как у профессионалов, даже фоторедакторами не пользовались. Сам телефон шустрый, не зависал, все приложения тянул. Но в один день..... В один день просто завис и все..... больше не включился. Бракованная материнская плата. Все шикарные фото пропали! Так что храните данные на флешке или в облаке. Знал бы что так произойдет, не купил бы этот телефон. Столько радости доставлял телефон, но облажался, даже год не проработал!"
14,5.0,"Первый такой приобрел в 2007 - служил верой и правдой до 2010 (украли в армии). В 2011 купил такой же - эксплуатировал 5 лет: ронял на асфальт, бетон, в воду - функционировал в самых экстремальных ситуациях, незаменим даже при ремонте машины, когда нужно затолкать источник света в какую нибудь дыру... Читать полностью. Живучий как крыса, в руке и в кармане лежит удобнее собственного хера, теоретически можно использовать как оружие и разбить кому нибудь голову, замечательная фотосъемка, дающая про.... многим современным аналогам. Хороший звук!. 1.Стираются клавиши. 2. Со временем дуплит гнездо зарядки и наушников но если помыть водой и потереть щеткой все работает как часы. 4.Хреновая видео запись. 4. Хрен купишь в магазине последние несколько лет("
15,5.0,"Пашет 3 года.Брал в Финляндии.Потом жене брал в Москве-несколько различий есть в ПО.Но работает быстро и всё есть-нет летает,фотки достаточно по мне так,меню легкое да и в принципе все есть ,что надо.. ЗА 3 года так и не менял ни батарею ни чего .НЕ глючит.. Вот разбилось стекло-но уже как бы пора и поменять на что то другое..Наверно будет опять Nokia"
16,4.0,"Я впринципи довольна телефоном. Хороший заряд батареи,  отличная цветовая гамма, поддерживает большое колличество программ. Недовольна тем, что можно либо вставить вторую сим карту, либо карту памяти!!! Это очень большой недостаток!! Недовольна тем ,что динамик находится внизу и когда кладешь телефон в карман динамик закрывается и музыки, допустим неслышно....Размер самого телефона мог бы быть и поменьше, это же не... Читать полностью"
17,5.0,"Отличный аппарат по всем параметрам.. Насыщенные цвета,быстрый,не тупит,связь отличная,красивый дизайн.. Отсутствуют.Берите,не пожалеете.Не слушайте кривые детские руки."
18,3.0,"Купил месяц назад в салоне за 2800... Ничего от него особенного не ждал... И оказался прав). Со своими прямыми обязанностями справляется хорошо. Аккумулятор достаточно емкий. Интернет через вайфай (другой не пробовал) умеренно шустрый. Неудобные боковые кнопки (субьективно). Про камеру ниже...... Читать полностью. За эту цену можно почти все простить).. Алгоритм некоторых действий, мягко скажем нелогичный... Отвратительная камера, баланс белого с трудом выдерживает на улице, в солнечный день. О съемке в условиях слабого освещения можно забыть. Подсветка никакая. Малочувствительный тачскрин."
19,4.0,"Пользуюсь телефоном с 2014 года, Скорость хорошая. Нарекания только к экрану. В течении гарантийного периода появилось размытие в районе кнопок громкости. По гарантии поменяли ,сказали, что это был заводской брак, и сказали, что такое не повториться. В итоге ровно через месяц на том же месте опять... Читать полностью. быстрота, качество. пятна на экране"
20,5.0,"Телефон был куплен через китайский интернет-магазин, дошёл в Германию за 2 недели, после включения и подсоединения к интернету обновился до 7 Андроида, приятная обработка, хоть и пластик, очень качественный экран, цена /качество нормальное за эти деньги, батарейка держит 2 дня, если конечно фильмы... Читать полностью. Система работает быстро без подвисаний, хороший экран, недорогая цена. малый выбор аксессуаров, сенсор отпечатка пальца не всегда срабатывает, пока вроде всё."
21,1.0,"Зачем выпускать телефон процессор которого не тянет даже собственную операционку. Тупит, виснет, позвонишь кому-нибудь а трубку тупо не сможешь положить, он завис сука!. Нет. Полно."
22,5.0,"Купила два телефона себе и супругу, долго загружается в первый раз. Удобное меню, большой объем памяти, хорошая камера, все летает. Покупкой очень довольна.. Лично для меня хороший телефон, надеюсь прослужит долго. Пока не нашла"
23,5.0,"Флагманский смартфон, который обойдется в два раза дешевле чем iphone или samsung. Хожу с ним пол года и нисколько не пожалел. Можно купить версию 3t где емкость батареи больше и вообще не знать горя.. Отличные дизайн, мощность и цена. Хорошая камера. Классный экран. Быстрая зарядка. Качество сборки отличное, не остает от флагманов других компаний, которые в два раза дороже.. Батарея держит не так хорошо, как хочется. Хочется использовать телефон постоянно, но тогда есть риск к вечеру остаться без связи из за разряженной батареи."
24,4.0,"3 года служит без ремонта, только начинает тупить.. Качественный динамик, Сколько ронял экран не трескался (ронял много раз). Камера 8 mp - отличная, фронтальная тоже не плохо. Хороший сенсор!. Жалко, что только 3 и 2G гнезда. Батарея поначалу нормальная, но после 2 лет начинает не долго держать заряд. Андроид бы посовременней, 4.0.4 маловато."
25,5.0,"Впечатления очень хорошие - смартфон приятно держать в руках потому что он имеет выдающийся дизайн, выделяющий его из ряда других смартфонов. При этом совершенно невысокая цена. Очень доволен.. Цена, роскошный внешний вид, отличный экран, неплохие фотокамеры. Не обнаружил"
26,5.0,"Смартфон имеет помимо достаточно неплохих характеристик, еще и некоторые признаки принадлежности к категории выше, чем он является - например, металлическая задняя крышка. Учитывая качество исполнения и очень невысокую цену, однозначно рекомендуется к покупке.. Качество, цена, большой контрастный дисплей. Не найду"
27,5.0,"Впечатление очень хорошее. Смартфон выглядит дороже, чем стоит на самом деле. Купил три месяца назад, и ни разу не пожалел.. + Цена
+ Металлический корпус
+ Отличная сборка. Не нашел"
28,5.0,"Отличный телефон. Хороший телефон по приемлемой цене,неплохое разрешение экрана,чувствительный сенсор,быстрая работа процессора,высокая скорость скачивания.. Минусов не найдено"
29,4.0,"Круто выглядит, привыкаешь к громадному размеру.. 3 сим карты, огромный аккумулятор, хорошая связь, хорошая слышимость разговоров, хороший фонарик, громкий внешний динамик. функции черный список,. Нет возможности подсоединения для разговора проводной гарнитуры, можно было бы добавить задач в календаре по больше, хочу больше времён в будильнике, проблему с громким звуком на радио решил прошивкой на оф.сайте, мало символов для записи имени контакта на сим карту. Камера на телефоне не 1,3... Читать полностью"
30,4.0,"Позитивные, но нужен чехол, сразу после покупки.. Скорость навигации, отличные фото и видиосъемка. Фотографии В жизненном режиме, волны, бег, последние движения при съемке.. Выскальзывает из рук."
31,1.0,"Подарили два дня назад. Рекламировали, как бабушкин телефон. Ерунда, еле сама разобралась. Орет как бешеный даже на громкости 1. Два дня эту громкость искала. Кнопки крупные. А в контакте все мелкое, не знаю, какие очки нужны пожилым людям, чтобы понять, что пишут.Так и не разобралась, переход в... Читать полностью. Пока не нашла. Не могут найти пошаговую подробную инструкцию. Не пойму как переключится на удобный шрифт для СМС. Неужели каждую букву выбирать из кучи выскакивающих цифр, букв, где переключатель, как в других телефонах. На экране цифры и буквы малюсенькие. Очень жалеем, что купили. Для 83-летнего совершенно не... Читать полностью"
32,5.0,"Новые телефоны нокиа 3 , 5, и 6.  Выше всяких  похвал . Это образец того какой должин быть  андроид смартфон  . Он не чего не навязывает , ты хозяин  и только ты сам решаешь  каким смарт будет в твоих руках .. Классный , чёткий без тормозов и задумок громкие стериодинамики . Амолед дисплей с преломлением света более 85 % (что редкость сейчас) Драконовский проц 430 в сочетании с 8 физическими ядрами по 1200 Мг с видеочипом Адрено 505 работают в связки как единое целое . Сёрфинг инета ограничен только вашим... Читать полностью. Пока нет ещё чехлов и нормальных защитных стёкл  .Андроид 7.1 не привычен  кнопки вызова и отбой поменяли местами (для левши наверное ?) но это меняется другой оболочкой коих много в инете ,  камера  (фронт) выступает  не привычно"
33,5.0,"Аппаратом доволен хоть и не ПРО версия. В черном цвете смотрится замечательно. Рекомендую!. Использую три месяца, нареканий нет. Четкая графика, тянет все игры, звук в динамиках хоть и качественно звучит но не громко, в наушниках без претензий: басы, качество звучания и пр. все зависит от того какие наушники использовать. Много полезных функций, второе пространство, сканер отпечатка... Читать полностью. Не все контакты высвечиваются, говорят надо  переместить в память телефона и удалить с сим карты."
34,5.0,"После моего LG E612 этот телефончик меня приятно удивил. И это мягко сказано. Я в восторге!!! Такой мощный, яркий, быстрый!!! Мои интернет вылазки еще никогда не были такими быстрыми, переход со страницы на страницу занимают какие-то 1-2 секунды!!! Плюс к этому отличный мощный динамик: слушать... Читать полностью. Шустрый, яркий, сильный, стильный, металлический корпус!!!. Чёрная полоска вокруг экрана слишком большая!!!"
35,5.0,"Я была владелицей и сони,и ноки, и лдж.не поклонница яблока.Долго искала замену лдж4(после года использования начал жить своей жизнью)и мой выбор был между самсунг 7, пикселем и моим хтс.Первые по цене намного превосходили последний.И в поисках различий поняла что в нем есть все что и в том же... Читать полностью. Звук,хоть и не громкий но мне очень понравился.Скорость отзыва системы-ракета.Фото удивляют. Отличные наушники. Кабель зарядки радует, действительно за час на 100% .отсутсвие логотипа на передней панели. Алюминиевый корпус.. При прослушивание музыки на максимальной громкости, все сливается в один общий ""треск"",батарея которой хватает  меньше чем на сутки(для меня лично это ????)"
36,2.0,"Плохой телефон Нокиа 301. Телефон сам удалил все контакты. Выключался и не включается хотя был заряд в батарее. Три года поработал и всё. Хотя я его не ударял и вода в него не попадала. Не доработанный или не качественная сборка.. Камера 3 мп.. Сам удалил книжку контактов, не включается."
37,5.0,"у меня sony ericsson w300i я считаю его одним из лучших телефонов этой кампании, а если в общем то все современные телефоны говно! кроме старых не повторимых: sony ericsson)))). !) вероятность разбить дисплей при подении 5% из 100% по сравнению с более современными моделями (уранил разок и на помойку, так как проще купить новый телефон чем востоновить дисплей) 2) удобный плеер, вход одним кликом, в закрытом виде управляется боковыми кнопками 3) в... Читать полностью. 1) часто выходят из строя микрафоны, если повезет то не раннее чем через 2года понадобится замена, очень редко когда он не выходит из строя вообще :D)))) 2) браузер-opera самовольно сбрысывает все сохраненне закладки!((( я с этим лагом пипееец как намуучался -___-"" 3) часто... Читать полностью"
